type,question,correct,wrong1,wrong2,image
Cubes,How many cubes in layer x 2?,9,7,11,cubes_4_4_3_0033_1233_1333_2333.png
Cubes,How many cubes in layer x 3?,10,8,9,cubes_4_4_3_0033_1233_1333_2333.png
Cubes,How many cubes in layer x 4?,11,14,13,cubes_4_4_3_0033_1233_1333_2333.png
Cubes,How many cubes in layer y 1?,4,6,3,cubes_4_4_3_0033_1233_1333_2333.png
Cubes,How many cubes in layer y 2?,8,11,10,cubes_4_4_3_0033_1233_1333_2333.png
Cubes,How many cubes in layer y 3?,12,15,9,cubes_4_4_3_0033_1233_1333_2333.png
Cubes,How many cubes in layer y 4?,12,14,10,cubes_4_4_3_0033_1233_1333_2333.png
Cubes,How many cubes in layer z 1?,14,11,18,cubes_4_4_3_0033_1233_1333_2333.png
Cubes,How many cubes in layer z 2?,12,9,15,cubes_4_4_3_0033_1233_1333_2333.png
Cubes,How many cubes in layer z 3?,10,11,7,cubes_4_4_3_0033_1233_1333_2333.png
Cubes,How many cubes in total?,19,21,16,cubes_4_4_3_0011_0011_1123_1223.png
Cubes,How many visible cubes?,13,14,12,cubes_4_4_3_0011_0011_1123_1223.png
Cubes,How many non visible cubes?,6,5,4,cubes_4_4_3_0011_0011_1123_1223.png
Cubes,How many cubes in layer x 1?,2,4,0,cubes_4_4_3_0011_0011_1123_1223.png
Cubes,How many cubes in layer x 2?,2,4,1,cubes_4_4_3_0011_0011_1123_1223.png
Cubes,How many cubes in layer x 3?,7,10,8,cubes_4_4_3_0011_0011_1123_1223.png
Cubes,How many cubes in layer x 4?,8,6,7,cubes_4_4_3_0011_0011_1123_1223.png
Cubes,How many cubes in layer y 1?,2,3,0,cubes_4_4_3_0011_0011_1123_1223.png
Cubes,How many cubes in layer y 2?,3,1,2,cubes_4_4_3_0011_0011_1123_1223.png
Cubes,How many cubes in layer y 3?,6,7,5,cubes_4_4_3_0011_0011_1123_1223.png
Cubes,How many cubes in layer y 4?,8,5,10,cubes_4_4_3_0011_0011_1123_1223.png
Cubes,How many cubes in layer z 1?,12,11,10,cubes_4_4_3_0011_0011_1123_1223.png
Cubes,How many cubes in layer z 2?,5,6,4,cubes_4_4_3_0011_0011_1123_1223.png
Cubes,How many cubes in layer z 3?,2,0,3,cubes_4_4_3_0011_0011_1123_1223.png
Cubes,How many cubes in total?,15,14,13,cubes_4_4_3_0001_0001_0012_1333.png
Cubes,How many visible cubes?,11,10,8,cubes_4_4_3_0001_0001_0012_1333.png
Cubes,How many non visible cubes?,4,5,3,cubes_4_4_3_0001_0001_0012_1333.png
Cubes,How many cubes in layer x 1?,1,3,0,cubes_4_4_3_0001_0001_0012_1333.png
Cubes,How many cubes in layer x 2?,1,3,2,cubes_4_4_3_0001_0001_0012_1333.png
Cubes,How many cubes in layer x 3?,3,2,4,cubes_4_4_3_0001_0001_0012_1333.png
Cubes,How many cubes in layer x 4?,10,8,7,cubes_4_4_3_0001_0001_0012_1333.png
Cubes,How many cubes in layer y 1?,1,2,0,cubes_4_4_3_0001_0001_0012_1333.png
Cubes,How many cubes in layer y 2?,3,4,5,cubes_4_4_3_0001_0001_0012_1333.png
Cubes,How many cubes in layer y 3?,4,3,6,cubes_4_4_3_0001_0001_0012_1333.png
Cubes,How many cubes in layer y 4?,7,9,8,cubes_4_4_3_0001_0001_0012_1333.png
Cubes,How many cubes in layer z 1?,8,10,11,cubes_4_4_3_0001_0001_0012_1333.png
Cubes,How many cubes in layer z 2?,4,2,3,cubes_4_4_3_0001_0001_0012_1333.png
Cubes,How many cubes in layer z 3?,3,4,5,cubes_4_4_3_0001_0001_0012_1333.png
Cubes,How many cubes in total?,28,27,29,cubes_4_4_3_0012_0023_1133_3333.png
Cubes,How many visible cubes?,18,16,21,cubes_4_4_3_0012_0023_1133_3333.png
Cubes,How many non visible cubes?,10,8,11,cubes_4_4_3_0012_0023_1133_3333.png
Cubes,How many cubes in layer x 1?,3,1,2,cubes_4_4_3_0012_0023_1133_3333.png
Cubes,How many cubes in layer x 2?,5,6,4,cubes_4_4_3_0012_0023_1133_3333.png
Cubes,How many cubes in layer x 3?,8,7,11,cubes_4_4_3_0012_0023_1133_3333.png
Cubes,How many cubes in layer x 4?,12,10,11,cubes_4_4_3_0012_0023_1133_3333.png
Cubes,How many cubes in layer y 1?,4,3,2,cubes_4_4_3_0012_0023_1133_3333.png
Cubes,How many cubes in layer y 2?,4,2,3,cubes_4_4_3_0012_0023_1133_3333.png
Cubes,How many cubes in layer y 3?,9,12,10,cubes_4_4_3_0012_0023_1133_3333.png
Cubes,How many cubes in layer y 4?,11,12,14,cubes_4_4_3_0012_0023_1133_3333.png
Cubes,How many cubes in layer z 1?,12,15,11,cubes_4_4_3_0012_0023_1133_3333.png
Cubes,How many cubes in layer z 2?,9,12,10,cubes_4_4_3_0012_0023_1133_3333.png
Cubes,How many cubes in layer z 3?,7,4,10,cubes_4_4_3_0012_0023_1133_3333.png
Cubes,How many cubes in total?,21,23,19,cubes_4_4_3_0000_0123_1123_1133.png
Cubes,How many visible cubes?,15,11,18,cubes_4_4_3_0000_0123_1123_1133.png
Cubes,How many non visible cubes?,6,4,8,cubes_4_4_3_0000_0123_1123_1133.png
Cubes,How many cubes in layer x 1?,0,1,2,cubes_4_4_3_0000_0123_1123_1133.png
Cubes,How many cubes in layer x 2?,6,5,8,cubes_4_4_3_0000_0123_1123_1133.png
Cubes,How many cubes in layer x 3?,7,9,5,cubes_4_4_3_0000_0123_1123_1133.png
Cubes,How many cubes in layer x 4?,8,7,9,cubes_4_4_3_0000_0123_1123_1133.png
Cubes,How many cubes in layer y 1?,2,1,3,cubes_4_4_3_0000_0123_1123_1133.png
Cubes,How many cubes in layer y 2?,3,5,2,cubes_4_4_3_0000_0123_1123_1133.png
Cubes,How many cubes in layer y 3?,7,4,9,cubes_4_4_3_0000_0123_1123_1133.png
Cubes,How many cubes in layer y 4?,9,12,7,cubes_4_4_3_0000_0123_1123_1133.png
Cubes,How many cubes in layer z 1?,11,8,10,cubes_4_4_3_0000_0123_1123_1133.png
Cubes,How many cubes in layer z 2?,6,8,7,cubes_4_4_3_0000_0123_1123_1133.png
Cubes,How many cubes in layer z 3?,4,2,5,cubes_4_4_3_0000_0123_1123_1133.png
Cubes,How many cubes in total?,29,25,28,cubes_4_4_3_0000_1112_3333_3333.png
Cubes,How many visible cubes?,19,22,21,cubes_4_4_3_0000_1112_3333_3333.png
Cubes,How many non visible cubes?,10,13,9,cubes_4_4_3_0000_1112_3333_3333.png
Cubes,How many cubes in layer x 1?,0,2,1,cubes_4_4_3_0000_1112_3333_3333.png
Cubes,How many cubes in layer x 2?,5,7,4,cubes_4_4_3_0000_1112_3333_3333.png
Cubes,How many cubes in layer x 3?,12,9,13,cubes_4_4_3_0000_1112_3333_3333.png
Cubes,How many cubes in layer x 4?,12,10,9,cubes_4_4_3_0000_1112_3333_3333.png
Cubes,How many cubes in layer y 1?,7,10,8,cubes_4_4_3_0000_1112_3333_3333.png
Cubes,How many cubes in layer y 2?,7,5,4,cubes_4_4_3_0000_1112_3333_3333.png
Cubes,How many cubes in layer y 3?,7,8,9,cubes_4_4_3_0000_1112_3333_3333.png
Cubes,How many cubes in layer y 4?,8,10,7,cubes_4_4_3_0000_1112_3333_3333.png
Cubes,How many cubes in layer z 1?,12,14,11,cubes_4_4_3_0000_1112_3333_3333.png
Cubes,How many cubes in layer z 2?,9,8,10,cubes_4_4_3_0000_1112_3333_3333.png
Cubes,How many cubes in layer z 3?,8,9,10,cubes_4_4_3_0000_1112_3333_3333.png
Cubes,How many cubes in total?,31,26,28,cubes_4_4_3_0012_0133_1233_3333.png
Cubes,How many visible cubes?,17,19,16,cubes_4_4_3_0012_0133_1233_3333.png
Cubes,How many non visible cubes?,14,11,17,cubes_4_4_3_0012_0133_1233_3333.png
Cubes,How many cubes in layer x 1?,3,1,2,cubes_4_4_3_0012_0133_1233_3333.png
Cubes,How many cubes in layer x 2?,7,10,9,cubes_4_4_3_0012_0133_1233_3333.png
Cubes,How many cubes in layer x 3?,9,11,10,cubes_4_4_3_0012_0133_1233_3333.png
Cubes,How many cubes in layer x 4?,12,15,13,cubes_4_4_3_0012_0133_1233_3333.png
Cubes,How many cubes in layer y 1?,4,5,6,cubes_4_4_3_0012_0133_1233_3333.png
Cubes,How many cubes in layer y 2?,6,5,4,cubes_4_4_3_0012_0133_1233_3333.png
Cubes,How many cubes in layer y 3?,10,9,13,cubes_4_4_3_0012_0133_1233_3333.png
Cubes,How many cubes in layer y 4?,11,10,12,cubes_4_4_3_0012_0133_1233_3333.png
Cubes,How many cubes in layer z 1?,13,11,12,cubes_4_4_3_0012_0133_1233_3333.png
Cubes,How many cubes in layer z 2?,10,9,13,cubes_4_4_3_0012_0133_1233_3333.png
Cubes,How many cubes in layer z 3?,8,11,10,cubes_4_4_3_0012_0133_1233_3333.png
Cubes,How many cubes in total?,31,25,29,cubes_4_4_3_0003_0123_2233_3333.png
Cubes,How many visible cubes?,18,14,15,cubes_4_4_3_0003_0123_2233_3333.png
Cubes,How many non visible cubes?,13,12,9,cubes_4_4_3_0003_0123_2233_3333.png
Cubes,How many cubes in layer x 1?,3,4,2,cubes_4_4_3_0003_0123_2233_3333.png
Cubes,How many cubes in layer x 2?,6,5,8,cubes_4_4_3_0003_0123_2233_3333.png
Cubes,How many cubes in layer x 3?,10,11,7,cubes_4_4_3_0003_0123_2233_3333.png
Cubes,How many cubes in layer x 4?,12,11,15,cubes_4_4_3_0003_0123_2233_3333.png
Cubes,How many cubes in layer y 1?,5,3,6,cubes_4_4_3_0003_0123_2233_3333.png
Cubes,How many cubes in layer y 2?,6,4,7,cubes_4_4_3_0003_0123_2233_3333.png
Cubes,How many cubes in layer y 3?,8,9,6,cubes_4_4_3_0003_0123_2233_3333.png
Cubes,How many cubes in layer y 4?,12,13,14,cubes_4_4_3_0003_0123_2233_3333.png
Cubes,How many cubes in layer z 1?,12,11,15,cubes_4_4_3_0003_0123_2233_3333.png
Cubes,How many cubes in layer z 2?,11,14,10,cubes_4_4_3_0003_0123_2233_3333.png
Cubes,How many cubes in layer z 3?,8,11,7,cubes_4_4_3_0003_0123_2233_3333.png
Cubes,How many cubes in total?,30,25,33,cubes_4_4_3_0000_1233_1333_2333.png
Cubes,How many visible cubes?,19,18,17,cubes_4_4_3_0000_1233_1333_2333.png
Cubes,How many non visible cubes?,11,14,10,cubes_4_4_3_0000_1233_1333_2333.png
Cubes,How many cubes in layer x 1?,0,2,1,cubes_4_4_3_0000_1233_1333_2333.png
Cubes,How many cubes in layer x 2?,9,7,8,cubes_4_4_3_0000_1233_1333_2333.png
Cubes,How many cubes in layer x 3?,10,11,8,cubes_4_4_3_0000_1233_1333_2333.png
Cubes,How many cubes in layer x 4?,11,12,10,cubes_4_4_3_0000_1233_1333_2333.png
Cubes,How many cubes in layer y 1?,4,5,3,cubes_4_4_3_0000_1233_1333_2333.png
Cubes,How many cubes in layer y 2?,8,7,11,cubes_4_4_3_0000_1233_1333_2333.png
Cubes,How many cubes in layer y 3?,9,10,7,cubes_4_4_3_0000_1233_1333_2333.png
Cubes,How many cubes in layer y 4?,9,6,12,cubes_4_4_3_0000_1233_1333_2333.png
Cubes,How many cubes in layer z 1?,12,9,15,cubes_4_4_3_0000_1233_1333_2333.png
Cubes,How many cubes in layer z 2?,10,8,12,cubes_4_4_3_0000_1233_1333_2333.png
Cubes,How many cubes in layer z 3?,8,7,10,cubes_4_4_3_0000_1233_1333_2333.png
Cubes,How many cubes in total?,37,40,34,cubes_4_4_3_0022_2233_2333_3333.png
Cubes,How many visible cubes?,21,19,25,cubes_4_4_3_0022_2233_2333_3333.png
Cubes,How many non visible cubes?,16,12,13,cubes_4_4_3_0022_2233_2333_3333.png
Cubes,How many cubes in layer x 1?,4,3,6,cubes_4_4_3_0022_2233_2333_3333.png
Cubes,How many cubes in layer x 2?,10,9,8,cubes_4_4_3_0022_2233_2333_3333.png
Cubes,How many cubes in layer x 3?,11,13,9,cubes_4_4_3_0022_2233_2333_3333.png
Cubes,How many cubes in layer x 4?,12,15,13,cubes_4_4_3_0022_2233_2333_3333.png
Cubes,How many cubes in layer y 1?,7,4,6,cubes_4_4_3_0022_2233_2333_3333.png
Cubes,How many cubes in layer y 2?,8,11,6,cubes_4_4_3_0022_2233_2333_3333.png
Cubes,How many cubes in layer y 3?,11,9,13,cubes_4_4_3_0022_2233_2333_3333.png
Cubes,How many cubes in layer y 4?,11,10,12,cubes_4_4_3_0022_2233_2333_3333.png
Cubes,How many cubes in layer z 1?,14,18,11,cubes_4_4_3_0022_2233_2333_3333.png
Cubes,How many cubes in layer z 2?,14,10,18,cubes_4_4_3_0022_2233_2333_3333.png
Cubes,How many cubes in layer z 3?,9,12,10,cubes_4_4_3_0022_2233_2333_3333.png
Cubes,How many cubes in total?,29,25,32,cubes_4_4_3_0001_0033_2333_2333.png
Cubes,How many visible cubes?,18,20,19,cubes_4_4_3_0001_0033_2333_2333.png
Cubes,How many non visible cubes?,11,12,14,cubes_4_4_3_0001_0033_2333_2333.png
Cubes,How many cubes in layer x 1?,1,2,0,cubes_4_4_3_0001_0033_2333_2333.png
Cubes,How many cubes in layer x 2?,6,4,7,cubes_4_4_3_0001_0033_2333_2333.png
Cubes,How many cubes in layer x 3?,11,9,13,cubes_4_4_3_0001_0033_2333_2333.png
Cubes,How many cubes in layer x 4?,11,14,8,cubes_4_4_3_0001_0033_2333_2333.png
Cubes,How many cubes in layer y 1?,4,6,5,cubes_4_4_3_0001_0033_2333_2333.png
Cubes,How many cubes in layer y 2?,6,8,5,cubes_4_4_3_0001_0033_2333_2333.png
Cubes,How many cubes in layer y 3?,9,12,6,cubes_4_4_3_0001_0033_2333_2333.png
Cubes,How many cubes in layer y 4?,10,7,11,cubes_4_4_3_0001_0033_2333_2333.png
Cubes,How many cubes in layer z 1?,11,10,8,cubes_4_4_3_0001_0033_2333_2333.png
Cubes,How many cubes in layer z 2?,10,7,11,cubes_4_4_3_0001_0033_2333_2333.png
Cubes,How many cubes in layer z 3?,8,7,6,cubes_4_4_3_0001_0033_2333_2333.png
Cubes,How many cubes in total?,35,36,33,cubes_4_4_3_1123_1223_1233_2333.png
Cubes,How many visible cubes?,20,16,17,cubes_4_4_3_1123_1223_1233_2333.png
Cubes,How many non visible cubes?,15,18,11,cubes_4_4_3_1123_1223_1233_2333.png
Cubes,How many cubes in layer x 1?,7,10,4,cubes_4_4_3_1123_1223_1233_2333.png
Cubes,How many cubes in layer x 2?,8,10,6,cubes_4_4_3_1123_1223_1233_2333.png
Cubes,How many cubes in layer x 3?,9,12,11,cubes_4_4_3_1123_1223_1233_2333.png
Cubes,How many cubes in layer x 4?,11,8,10,cubes_4_4_3_1123_1223_1233_2333.png
Cubes,How many cubes in layer y 1?,5,3,7,cubes_4_4_3_1123_1223_1233_2333.png
Cubes,How many cubes in layer y 2?,8,7,11,cubes_4_4_3_1123_1223_1233_2333.png
Cubes,How many cubes in layer y 3?,10,13,11,cubes_4_4_3_1123_1223_1233_2333.png
Cubes,How many cubes in layer y 4?,12,14,9,cubes_4_4_3_1123_1223_1233_2333.png
Cubes,How many cubes in layer z 1?,16,12,20,cubes_4_4_3_1123_1223_1233_2333.png
Cubes,How many cubes in layer z 2?,12,9,10,cubes_4_4_3_1123_1223_1233_2333.png
Cubes,How many cubes in layer z 3?,7,4,10,cubes_4_4_3_1123_1223_1233_2333.png
Cubes,How many cubes in total?,31,32,33,cubes_4_4_3_0012_1123_2223_3333.png
Cubes,How many visible cubes?,18,17,19,cubes_4_4_3_0012_1123_2223_3333.png
Cubes,How many non visible cubes?,13,9,16,cubes_4_4_3_0012_1123_2223_3333.png
Cubes,How many cubes in layer x 1?,3,5,2,cubes_4_4_3_0012_1123_2223_3333.png
Cubes,How many cubes in layer x 2?,7,5,10,cubes_4_4_3_0012_1123_2223_3333.png
Cubes,How many cubes in layer x 3?,9,12,10,cubes_4_4_3_0012_1123_2223_3333.png
Cubes,How many cubes in layer x 4?,12,11,15,cubes_4_4_3_0012_1123_2223_3333.png
Cubes,How many cubes in layer y 1?,6,4,5,cubes_4_4_3_0012_1123_2223_3333.png
Cubes,How many cubes in layer y 2?,6,8,4,cubes_4_4_3_0012_1123_2223_3333.png
Cubes,How many cubes in layer y 3?,8,7,5,cubes_4_4_3_0012_1123_2223_3333.png
Cubes,How many cubes in layer y 4?,11,9,14,cubes_4_4_3_0012_1123_2223_3333.png
Cubes,How many cubes in layer z 1?,14,15,12,cubes_4_4_3_0012_1123_2223_3333.png
Cubes,How many cubes in layer z 2?,11,14,10,cubes_4_4_3_0012_1123_2223_3333.png
Cubes,How many cubes in layer z 3?,6,8,4,cubes_4_4_3_0012_1123_2223_3333.png
Cubes,How many cubes in total?,30,31,28,cubes_4_4_3_0012_0133_0333_2333.png
